anio,cosechada,idcader,idciclo,idcultivo,idddr,idestado,idmodalidad,idmunicipio,idunidadmedida,nomcader,nomcicloproductivo,nomcultivo,nomddr,nomestado,nommodalidad,nommunicipio,nomunidad,precio,rendimiento,sembrada,siniestrada,valorproduccion,volumenproduccion
2016,17.0,1,2,7490000,14,5,1,5,200201,Monclova,Primavera-Verano,Maíz grano,Frontera,Coahuila,Riego,Candela,Tonelada,3650.0,2.32,17.0,0.0,143956.0,39.44
2016,32.0,1,2,7490000,14,5,2,5,200201,Monclova,Primavera-Verano,Maíz grano,Frontera,Coahuila,Temporal,Candela,Tonelada,3000.0,0.92,32.0,0.0,88320.0,29.44
2016,283.0,1,2,7490000,14,5,2,6,200201,Monclova,Primavera-Verano,Maíz grano,Frontera,Coahuila,Temporal,Castaños,Tonelada,3075.69,0.93,283.0,0.0,809490.85,263.19
2016,100.0,1,2,7490000,14,5,1,10,200201,Monclova,Primavera-Verano,Maíz grano,Frontera,Coahuila,Riego,Frontera,Tonelada,3250.0,2.34,100.0,0.0,760500.0,234.0
2016,18.0,1,2,7490000,14,5,2,10,200201,Monclova,Primavera-Verano,Maíz grano,Frontera,Coahuila,Temporal,Frontera,Tonelada,3063.19,0.91,18.0,0.0,50175.05,16.38
2016,24.0,1,2,7490000,14,5,1,18,200201,Monclova,Primavera-Verano,Maíz grano,Frontera,Coahuila,Riego,Monclova,Tonelada,3300.0,2.21,24.0,0.0,175032.0,53.04
2016,23.0,1,2,7490000,14,5,2,18,200201,Monclova,Primavera-Verano,Maíz grano,Frontera,Coahuila,Temporal,Monclova,Tonelada,3050.0,0.98,23.0,0.0,68747.0,22.54
2016,40.0,2,2,7490000,14,5,1,1,200201,San Buenaventura,Primavera-Verano,Maíz grano,Frontera,Coahuila,Riego,Abasolo,Tonelada,3800.0,1.92,40.0,0.0,291840.0,76.8
2016,23.5,2,2,7490000,14,5,1,8,200201,San Buenaventura,Primavera-Verano,Maíz grano,Frontera,Coahuila,Riego,Escobedo,Tonelada,3650.0,1.66,23.5,0.0,142386.5,39.01
2016,182.5,2,2,7490000,14,5,1,21,200201,San Buenaventura,Primavera-Verano,Maíz grano,Frontera,Coahuila,Riego,Nadadores,Tonelada,3500.0,1.66,182.5,0.0,1060325.0,302.95
2016,65.0,2,2,7490000,14,5,2,21,200201,San Buenaventura,Primavera-Verano,Maíz grano,Frontera,Coahuila,Temporal,Nadadores,Tonelada,2900.0,1.05,65.0,0.0,197925.0,68.25
2016,135.5,2,2,7490000,14,5,1,31,200201,San Buenaventura,Primavera-Verano,Maíz grano,Frontera,Coahuila,Riego,San Buenaventura,Tonelada,3800.0,1.6,140.0,4.5,823840.0,216.8
2016,114.0,3,2,7490000,14,5,1,7,200201,Cuatro Ciénegas,Primavera-Verano,Maíz grano,Frontera,Coahuila,Riego,Cuatro Ciénegas,Tonelada,3500.0,2.66,114.0,0.0,1061340.0,303.24
2016,88.0,3,2,7490000,14,5,2,7,200201,Cuatro Ciénegas,Primavera-Verano,Maíz grano,Frontera,Coahuila,Temporal,Cuatro Ciénegas,Tonelada,3100.0,0.9,88.0,0.0,245520.0,79.2
2016,9.5,3,2,7490000,14,5,1,16,200201,Cuatro Ciénegas,Primavera-Verano,Maíz grano,Frontera,Coahuila,Riego,Lamadrid,Tonelada,3600.0,3.36,9.5,0.0,114912.0,31.92
2016,41.5,3,2,7490000,14,5,1,29,200201,Cuatro Ciénegas,Primavera-Verano,Maíz grano,Frontera,Coahuila,Riego,Sacramento,Tonelada,3600.0,3.32,41.5,0.0,496008.0,137.78
2016,15.0,4,2,7490000,14,5,1,23,200201,Ocampo,Primavera-Verano,Maíz grano,Frontera,Coahuila,Riego,Ocampo,Tonelada,3500.0,1.16,15.0,0.0,60900.0,17.4
2016,48.0,4,2,7490000,14,5,2,23,200201,Ocampo,Primavera-Verano,Maíz grano,Frontera,Coahuila,Temporal,Ocampo,Tonelada,3250.0,0.56,48.0,0.0,87360.0,26.88
2016,20.0,4,2,7490000,14,5,1,34,200201,Ocampo,Primavera-Verano,Maíz grano,Frontera,Coahuila,Riego,Sierra Mojada,Tonelada,3500.0,1.11,20.0,0.0,77700.0,22.2
2016,534.0,1,2,7490000,15,5,1,4,200201,Arteaga,Primavera-Verano,Maíz grano,Saltillo,Coahuila,Riego,Arteaga,Tonelada,3175.0,3.27,534.0,0.0,5540724.25,1745.11
2016,5551.0,1,2,7490000,15,5,2,4,200201,Arteaga,Primavera-Verano,Maíz grano,Saltillo,Coahuila,Temporal,Arteaga,Tonelada,3175.0,1.22,5551.0,0.0,21431313.5,6750.02
2016,148.0,2,2,7490000,15,5,1,11,200201,General Cepeda,Primavera-Verano,Maíz grano,Saltillo,Coahuila,Riego,General Cepeda,Tonelada,3325.0,1.78,148.0,0.0,874475.0,263.0
2016,3270.0,2,2,7490000,15,5,2,11,200201,General Cepeda,Primavera-Verano,Maíz grano,Saltillo,Coahuila,Temporal,General Cepeda,Tonelada,3325.0,0.56,3270.0,0.0,6121358.25,1841.01
2016,272.0,3,2,7490000,15,5,1,24,200201,Parras de La Fuente,Primavera-Verano,Maíz grano,Saltillo,Coahuila,Riego,Parras,Tonelada,3268.5,1.83,272.0,0.0,1626928.56,497.76
2016,2783.0,3,2,7490000,15,5,2,24,200201,Parras de La Fuente,Primavera-Verano,Maíz grano,Saltillo,Coahuila,Temporal,Parras,Tonelada,3268.0,0.57,2783.0,0.0,5193146.12,1589.09
2016,279.0,4,2,7490000,15,5,1,27,200201,Ramos Arizpe,Primavera-Verano,Maíz grano,Saltillo,Coahuila,Riego,Ramos Arizpe,Tonelada,3100.0,1.72,279.0,0.0,1488496.0,480.16
2016,932.0,4,2,7490000,15,5,2,27,200201,Ramos Arizpe,Primavera-Verano,Maíz grano,Saltillo,Coahuila,Temporal,Ramos Arizpe,Tonelada,3100.0,0.58,932.0,0.0,1678619.0,541.49
2016,72.0,5,2,7490000,15,5,1,30,200201,Agua Nueva,Primavera-Verano,Maíz grano,Saltillo,Coahuila,Riego,Saltillo,Tonelada,3107.18,1.82,72.0,0.0,407382.37,131.11
