LON,LAT,EDO,CLAVE,ESTACION,may-16
-92.820833,16.938889,CHIS,SNACP,"Santa María, Chis.",108.4
-92.731389,17.035556,CHIS,SPNICHTALUCUM,"San Pedro Nichtalucum, Chis. SGT*",123.3
-92.148889,14.698611,CHIS,SUCHIATE,"Suchiate, Chis. SGT*",265.1
-93.034167,16.742778,CHIS,SUMIDEROCFE,"Cañón del Sumidero, Chis. CFE*",175.9
-93.244722,17.494167,CHIS,SUNUAPA,"Sunuapa, Chis. SGT*",28
-92.1475,14.9625,CHIS,TALISMAN,"Talismán, Chis. SGT*",627.6
-92.243333,14.99,CHIS,TAMCP,"Tapachula Malpaso, Chis.",520.6
-92.260556,14.908056,CHIS,TAPCP,"Tapachula, Chis.",337.41
-92.426389,17.300278,CHIS,TILA,"Tila, Chis. SGT*",58.4
-93.545833,15.875,CHIS,TPICP,"Tres Picos, Chis.",185.7
-93.0575,16.736111,CHIS,TRABAJOSOCIAL,"Trabajo Social, Chis. SGT*",86.4
-93.577778,16.227222,CHIS,TRESPICOSCFE,"Tres Picos, Chis. CFE*",50.4
-93.1,16.761944,CHIS,TUXCP,"Tuxtla Oriente, Chis.",91.1
-93.086111,16.761667,CHIS,TUXTLACFE,"Tuxtla, Chis. CFE*",31.8
-93.133333,16.75,CHIS,TXOCP,"Observatorio de Tuxtla Gutiérrez, Chis.",28.31
-93.414167,17.231111,CHIS,TZIMBACCFE,"Tzimbac, Chis. CFE*",24.8
-93.121944,16.778056,CHIS,UNICACH,"Universidad de Ciencias y Artes de Chiapas, Chis. SGT*",42
-92.909722,17.178333,CHIS,UNIVERSIDADLIND,"Universidad Lindavista, Chis. SMN*",52.17
-93.270833,16.233333,CHIS,VIFCP,"Villaflores, Chis.",111.4
-93.248056,16.253889,CHIS,VILLAFLORES,"Villaflores, Chis. SGT*",82.9
-93.330556,17.116667,CHIS,YAMCP,"Yamonhó, Chis.",28.61
-91.729722,16.909167,CHIS,YAQUINTELA,"Yaquintela, Chis. SGT*",123
-100.837222,28.344444,COAH,ADLCL,"Allende, Coah.",76
-101.057222,29.446944,COAH,AMSCL,"Internacional La Amistad, Coah.",43.5
-100.929722,25.561111,COAH,ARACL,"Ramos Arizpe Aeropuerto, Coah.",58.05
-102.064444,26.983333,COAH,CCGCL,"Cuatro Ciénegas, Coah.",35.9
-100.950278,29.327778,COAH,CDACL,"Ciudad Acuña, Coah.",10.5
-100.661111,26.844444,COAH,CDLCL,"Candela, Coah.",78
-100.95,29.213611,COAH,CNTCL,"El Centenario, Coah.",20
-103.469167,25.542222,COAH,CYTCL,"Coyote, Coah.",5.72
-100.920833,25.436111,COAH,ESLCL,"Secretaría de Agricultura Saltillo, Coah.",79.7
-103.283889,25.068056,COAH,LFLDR,"La Flor, Coah.",8
-101.4225,26.908333,COAH,MCVCL,"Observatorio de Monclova, Coah.",78.1
-100.5325,28.706667,COAH,PNGCL,"Observatorio de Piedras Negras, Coah.",55.3
-101.002222,27.422222,COAH,PRSCL,"Progreso, Coah.",129.05
-100.575556,25.273333,COAH,SAACL,"San Antonio de las Alazanas, Coah.",81
-101.016667,25.376389,COAH,SALCL,"Observatorio de Saltillo, Coah.",69
-101.122778,27.846667,COAH,SBNCL,"Sabinas, Coah.",135.55
-100.953889,29.034167,COAH,SMGCL,"San Miguel, Coah.",33
-103.699722,27.285278,COAH,SMJCL,"Sierra Mojada, Coah.",11.5
