LON,LAT,EDO,CLAVE,ESTACION,oct-13
-102.231944,20.491111,JAL,POLJL,"Ing. Guillermo Lugo Sanabria, Jal.",43.72
-102.716667,20.4,JAL,RIOZULA,"Río Zula, Jal. SGT*",80.2
-101.835556,21.359167,JAL,SA1JL,"La Sauceda, Jal.",78.31
-102.509444,21.284722,JAL,SANGASPARCFE,"San Gaspar, Jal. CFE*",1.3
-102.5,21.3,JAL,SGRJL,"San Gaspar de los Reyes, Jal.",16.6
-103.9175,19.463611,JAL,SMANANTLANI,"Sierra Manatlán 1, Jal. SMN*",31.2
-103.705556,20.908889,JAL,SRSJL,"Manuel M. Diéguez, Jal.",16.8
-102.583333,21.45,JAL,TCAJL,"Teocaltiche, Jal.",24.8
-104.320278,20.036111,JAL,TCTJL,"Tacotán, Jal.",20
-103.198611,22.171944,JAL,TENJL,"Tenasco, Jal.",21.22
-103.316667,20.583333,JAL,TLAJL,"Tlaquepaque, Jal.",65.41
-104.370278,19.976111,JAL,TMLJL,"Ramón Corona Madrigal General, Jal.",44.7
-103.396667,18.967222,JAL,TRJCM,"Solidaridad, Jal.",36.05
-103.183333,20.15,JAL,TUXCUECA,"Tuxcueca, Jal. SGT*",0.8
-103.845833,20.596389,JAL,VEGJL,"Ing. Santiago Camarena, Jal.",60.7
-99.377222,19.377222,MEX,2RSMX,"Dos Ríos, Méx.",129
-98.655278,19.118611,MEX,ALTZOMONI,"Altzomoni, Méx. SMN*",39.2
-99.216667,19.566667,MEX,ARBMX,"Las Arboledas, Méx.",52.1
-98.9125,19.543889,MEX,ATEMX,"Atenco, Méx.",39.1
-99.866667,19.783333,MEX,ATPMX,"Atlacomulco Prepa., Méx.",54.41
-99.7,19.333333,MEX,CALMX,"Calixtlahuaca, Méx.",67.2
-99.298611,19.406667,MEX,CDBMX,"Caída del Borracho, Méx.",115
-99.511667,19.205,MEX,CGCMX,"Gerencia Conagua CODAGEM, Méx.",61.76
-100.152778,19.350556,MEX,CHIMX,"Chilesdo, Méx.",80.3
-98.884722,19.483333,MEX,CHPMX,"Chapingo, Méx.",51.3
-99.239444,19.534167,MEX,CLYMX,"Calacoaya, Méx.",97.1
-99.301667,19.695,MEX,CNPMX,"La Concepción, Méx.",58.6
-99.714167,19.291111,MEX,COBMX,"Observatorio de Toluca, Méx.",66.14
-100.225,19.178889,MEX,COLMX,"Colorines, Méx.",77.8
-99.559722,19.884722,MEX,DNXMX,"Danxho, Méx.",67.01
-99.238333,19.453611,MEX,EMOMX,"El Molinito Río Hondo, Méx.",70
-98.917222,19.578889,MEX,GRDMX,"La Grande, Méx.",62
-99.696944,20.046389,MEX,HPNMX,"Huapango, Méx.",94.05
-98.643056,19.095556,MEX,IXTAPOPO,"Ixtapopo, Méx. SMN*",62.2
-99.05,19.633333,MEX,K27MX,"km 27+250, Méx.",29.6
-100.075833,19.389444,MEX,LBEMX,"Los Berros, Méx.",87.1
-99.220833,19.4775,MEX,MBLMX,"Molino Blanco, Méx.",95
-99.184722,19.580833,MEX,PBTMX,"Planta de bombeo Barrientos, Méx.",79.9
-99.017222,19.656667,MEX,PCCMX,"Planta Chiconautla 2, Méx.",68.3
-99.181944,19.743056,MEX,PCGMX,"Puente Colgante, Méx.",49.5
-99.010278,19.636944,MEX,PCTMX,"Planta Chiconautla 1, Méx.",72.8
-99.790278,19.829167,MEX,PFBMX,"Francisco José Trinidad Fabela, Méx.",70.02
-99.775,19.461667,MEX,PIRMX,"Ignacio Ramírez, Méx.",66.4
-99.248889,19.429444,MEX,PLMMX,"Palmas, Méx.",111.3
-99.260833,19.526944,MEX,PMDMX,"Madín, Méx.",99.9
-99.739722,20.124167,MEX,PMNMX,"El Molino, Méx.",82.42
-99.864444,20.038611,MEX,PNDMX,"Ñadó, Méx.",95.09
-99.268056,19.524444,MEX,PREMX,"Presa Madín, Méx. SMN*",18.56
-99.283333,19.453611,MEX,PTLMX,"Presa Totolica, Méx.",67.2
-98.910556,19.531944,MEX,SADMX,"San Andrés, Méx.",58.6
-99.704722,19.465833,MEX,SBBMX,"José Antonio Alzate, Méx.",71
-99.764722,19.238333,MEX,SJHMX,"San Juan de las Huertas, Méx.",69.3
-98.870833,19.190278,MEX,SLAMX,"San Luis Ameca, Méx.",82.5
-99.741667,19.591667,MEX,SLBMX,"San Bartolo del Llano, Méx.",31.5
-98.960556,19.320833,MEX,SSCDF,"La Caldera Subestación eléctrica Santa Lucía, Méx.",49.9
-99.799167,19.343056,MEX,TBRMX,"Tres Barrancas, Méx.",61.34
-99.935833,18.931389,MEX,TESMX,"Texcaltitlán, Méx.",69.64
-99.905278,19.856944,MEX,TJCMX,"El Tejocote, Méx.",73.1
-99.714167,19.291111,MEX,TOLUCAob,"Observatorio de Toluca, Méx. SMN*",56.4
-99.961389,19.660833,MEX,TPTMX,"San Andrés Tepetitlán, Méx.",150
-99.6125,19.428056,MEX,TROMX,"Trojes, Méx.",30.71
-99.243611,19.466389,MEX,TTLMX,"Totolica hidrométrica, Méx.",59.4
-99.123889,19.904722,MEX,TTQMX,"Tajo de Tequixquiac, Méx.",47.3
-99.385278,19.834722,MEX,TXMHD,"Taxhimay, Méx.",45.01
-100.18,19.2075,MEX,VBRMX,"Valle de Bravo, Méx.",75.01
-99.211667,19.510278,MEX,VDCDF,"Vaso de Cristo, Méx.",86.3
-99.334167,19.382222,MEX,VNDMX,"El Venado, Méx.",0.8
-100.055556,19.461667,MEX,VVCMX,"Villa Victoria, Méx.",77.8
-101.99,20.231389,MICH,ADUMC,"Adjuntas, Mich.",29.6
-100.608889,19.579722,MICH,AGOMC,"Agostitlán, Mich.",114
-102.371111,19.083056,MICH,APTMC,"Apatzingán, Mich.",55
-102.419167,20.183889,MICH,BIBMC,"Barraje de Ibarra, Mich.",41.3
-101.461389,20.324167,MICH,CBLMC,"Casa Blanca, Mich.",97.42
