LON,LAT,EDO,CLAVE,ESTACION,jun-16
-100.566667,28.683056,COAH,PNEGRASob,"Observatorio de Piedras Negras, Coah. SMN*",15.2
-100.5325,28.706667,COAH,PNGCL,"Observatorio de Piedras Negras, Coah.",19.3
-101.002222,27.422222,COAH,PRSCL,"Progreso, Coah.",72.05
-100.575556,25.273333,COAH,SAACL,"San Antonio de las Alazanas, Coah.",77
-101.016667,25.376389,COAH,SALCL,"Observatorio de Saltillo, Coah.",44.9
-101.016667,25.376389,COAH,SALTILLOob,"Observatorio de Saltillo, Coah. SMN*",47.4
-101.122778,27.846667,COAH,SBNCL,"Sabinas, Coah.",57
-100.953889,29.034167,COAH,SMGCL,"San Miguel, Coah.",53
-103.699722,27.285278,COAH,SMJCL,"Sierra Mojada, Coah.",29.2
-102.979444,25.7575,COAH,SPECL,"San Pedro, Coah.",12
-101.016667,25.376389,COAH,STOCL,"Saltillo, Coah.",37.4
-103.45,25.541667,COAH,TORCL,"Observatorio de Torreón, Coah.",10.21
-103.45,25.533333,COAH,TORREONob,"Observatorio de Torreón, Coah. SMN*",5.2
-100.616111,27.515,COAH,VCRCL,"Venustiano Carranza, Coah.",21.5
-103.613333,19.249722,COL,BVSCM,"Buenavista, Col.",222.5
-103.726389,18.758611,COL,CDOCM,"Cerro de Ortega, Col.",74.5
-103.702778,19.295,COL,CHNCM,"El Chanal, Col.",96.3
-103.626111,18.826389,COL,CLLCM,"Callejones, Col.",48.2
-103.720833,19.218333,COL,CMDCM,"Observatorio de Colima, Col.",119.3
-103.757222,19.3175,COL,CMLCM,"Comala, Col.",196.9
-103.733333,19.233333,COL,COLIMAob,"Observatorio de Colima, Col. SMN*",110
-103.809167,19.204722,COL,CQMCM,"Coquimatlán, Col.",97.6
-103.605,19.322222,COL,CUACM,"Cuauhtémoc, Col.",138
-103.884167,19.112222,COL,DJLCM,"Presa derivadora Gregorio T. Q. Jala, Col.",59.9
-110.953611,18.726667,COL,ISOCORROmar,"Isla Socorro, Col. SEMAR*",6.6
-103.868056,19.171667,COL,LAECM,"La Esperanza, Col.",78.4
-103.773889,18.803056,COL,LDACM,"Laguna de Amela, Col.",34.6
-104.316667,19.046389,COL,MANZANILLOob,"Observatorio de Manzanillo, Col. SMN*",44.6
-104.318611,19.044167,COL,MNZCM,"Observatorio de Manzanillo, Col.",69.3
-103.8125,19.3275,COL,PNTCM,"Presa derivadora Peñitas, Col.",89
-104.1,18.936111,COL,RDRCM,"Radar, Col.",48.5
-103.700833,19.408333,COL,SCHCM,"Suchitlán, Col.",95.6
-103.855833,18.908056,COL,TCMCM,"Tecomán, Col.",74
-103.663333,19.2775,COL,TRPCM,"Trapiche, Col.",116.2
-99.210278,19.218611,DF,AJSDF,"Ajusco, Cd. de Méx.",178.7
-99.180556,19.346667,DF,CCUDF,"Universidad, Cd. de Méx.",136.5
-98.999444,19.357222,DF,CDMDF,"Cárcel de Mujeres, Cd. de Méx.",132.5
-99.1125,19.407778,DF,CDVDF,"Ciudad Deportiva, Cd. de Méx.",146.5
-99.1375,19.516667,DF,CEADF,"Campamento Amealco, Cd. de Méx.",146.4
-99.208333,19.155556,DF,CFSDF,"Caseta Forestal, Cd. de Méx.",269.3
-99.1375,19.469722,DF,CMTDF,"Avenida Cien Metros, Cd. de Méx.",206.31
-99.183333,19.486389,DF,CMYDF,"Campamento Mecoaya, Cd. de Méx.",105.9
-99.196389,19.403611,DF,CTMDF,"Observatorio de Tacubaya, Cd. de Méx.",119.5
-99.09,19.190278,DF,CTNDF,"San Salvador Cuauhtenco, Cd. de Méx.",8.5
-99.09,19.484167,DF,CYLDF,"Coyol, Cd. de Méx.",167.3
-99.205556,19.304722,DF,DATDF,"Desviación Alta, Cd. de Méx.",47
-99.131389,19.431111,DF,DDFDF,"Gobierno de la Ciudad de México, Cd. de Méx.",147.3
-99.309167,19.313333,DF,DTLDF,"Desierto de los Leones, Cd. de Méx.",180.8
-99.151944,19.300556,DF,EAZDF,"Estadio Azteca, Cd. de Méx.",83.5
-99.203889,19.271389,DF,ECOGUARDAS,"Ecoguardas Ajusco, Cd. de Méx. SMN*",146
-99.286389,19.3625,DF,EYQDF,"El Yaqui, Cd. de Méx.",189.7
-99.352222,19.295,DF,EZCDF,"El Zarco, Méx.",269.1
-99.091667,19.478056,DF,GCNDF,"km 6+250 del Gran Canal, Cd. de Méx.",189.7
-99.2625,19.308056,DF,HYTDF,"Huayatla, Cd. de Méx.",140.6
-99.066667,19.377778,DF,LU4DF,"Lumbrera Cuatro Ríos El Moral, Cd. de Méx.",136.77
-99.3,19.340556,DF,LVNDF,"La Venta, Cd. de Méx.",240
-99.283333,19.216667,DF,MAGDF,"Monte Alegre, Cd. de Méx.",293.01
-99.133889,19.403333,DF,MCRDF,"Marcos Carrillo, Cd. de Méx.",181.5
-99.021944,19.190556,DF,MLPDF,"Milpa Alta, Cd. de Méx.",118.3
-99.233056,19.187778,DF,MZTDF,"Planta Abasolo Mezontepec, Cd. de Méx.",213.79
-99.096389,19.316389,DF,OCSDF,"Organismo de Cuenca Aguas del Valle de México Sur, Cd. de Méx.",103.8
-99.100278,19.379167,DF,PBADF,"Planta de bombeo Aculco, Cd. de Méx.",164.6
-99.057778,19.433333,DF,PBCDF,"Planta de bombeo Churubusco Lago, Cd. de Méx.",120.1
-99.119444,19.486667,DF,PBLDF,"Planta de bombeo Lindavista, Cd. de Méx.",110.6
-99.037778,19.38,DF,PBODF,"Planta de bombeo U.H. Ejército de Oriente, Cd. de Méx.",142.87
-99.170556,19.435556,DF,PBTDF,"Planta de bombeo Tizoc, Cd. de Méx.",99.54
-99.2,19.413056,DF,PCHDF,"Planta Chapultepec, Cd. de Méx.",87.6
-99.097222,19.455833,DF,PGNDF,"Planta Generadora 101, Cd. de Méx.",147.1
