LON,LAT,EDO,CLAVE,ESTACION,dic-13
-93.150556,17.225833,CHIS,OCOTEPEC,"Ocotepec, Chis. SGT*",691.3
-91.968056,15.848611,CHIS,PCOCP,"Puente Concordia, Chis.",26.11
-93.458611,17.446111,CHIS,PENCP,"Ángel Albino Corzo, Chis.",632.71
-92.4,14.7,CHIS,PTOCHIAPASmar,"Puerto Chiapas, Chis. SEMAR*",0
-93.552778,17.348333,CHIS,RCACP,"Rómulo Calzada, Chis.",505.4
-92.666667,15.916667,CHIS,REFCP,"Reforma, Chis.",21.41
-93.079167,16.158333,CHIS,REVCP,"Revolución Mexicana, Chis.",0.6
-92.35,17.566667,CHIS,SAACP,"Salto de Agua, Chis.",423.9
-93.231111,16.373611,CHIS,SANTUARIOCFE,"Santuario, Chis. CFE*",7.6
-93.383333,17.425,CHIS,SAYCP,"Sayula, Chis.",1138.2
-92.603056,16.727222,CHIS,SCCASASCFE,"San Cristóbal de las Casas, Chis. CFE*",17.7
-92.633333,16.733333,CHIS,SCOCP,"Observatorio de San Cristóbal, Chis.",11.98
-93.056389,16.4525,CHIS,SDOCP,"Santo Domingo, Chis.",1
-92.308333,17.028611,CHIS,SITALA,"Sitala, Chis. SGT*",138.5
-93.085,17.561111,CHIS,SJOCP,"San Joaquín, Chis.",1018.61
-92.239444,15.775,CHIS,SMICP,"San Miguel, Chis.",22.02
-93.591111,16.152222,CHIS,SMORENACFE,"Sierra Morena, Chis. CFE*",4.4
-92.820833,16.938889,CHIS,SNACP,"Santa María, Chis.",224.82
-93.034167,16.742778,CHIS,SUMIDEROCFE,"Cañón del Sumidero, Chis. CFE*",8.2
-92.260556,14.908056,CHIS,TAPCP,"Tapachula, Chis.",0.01
-93.577778,16.227222,CHIS,TRESPICOSCFE,"Tres Picos, Chis. CFE*",8.4
-93.1,16.761944,CHIS,TUXCP,"Tuxtla Oriente, Chis.",1.6
-93.086111,16.761667,CHIS,TUXTLACFE,"Tuxtla, Chis. CFE*",6.2
-93.133333,16.75,CHIS,TXOCP,"Observatorio de Tuxtla Gutiérrez, Chis.",3.85
-93.414167,17.231111,CHIS,TZIMBACCFE,"Tzimbac, Chis. CFE*",795
-92.909722,17.178333,CHIS,UNIVERSIDADLIND,"Universidad Lindavista, Chis. SMN*",182.15
-93.270833,16.233333,CHIS,VIFCP,"Villaflores, Chis.",25.01
-92.147222,15.091111,CHIS,VTACANA,"Volcán Tacaná, Chis. SMN*",56.6
-93.330556,17.116667,CHIS,YAMCP,"Yamonhó, Chis.",362.73
-100.837222,28.344444,COAH,ADLCL,"Allende, Coah.",20
