Anio,Idestado,Nomestado,Idddr,Nomddr,Idcader,Nomcader,Idmunicipio,Nommunicipio,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion
2019,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,5,Jesús María,2,Primavera-Verano,1,Riego,200201,Tonelada,8980000,Tomate verde,75,75,0,1350,18,4500,6075000
2019,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,5,Jesús María,2,Primavera-Verano,1,Riego,200201,Tonelada,9270000,Zanahoria,9,9,0,175.5,19.5,2965,520357.5
2019,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,5,Jesús María,2,Primavera-Verano,2,Temporal,200201,Tonelada,6840000,Frijol,11,6,5,3.54,0.59,8175,28939.5
2019,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,5,Jesús María,2,Primavera-Verano,2,Temporal,200201,Tonelada,7470000,Maíz forrajero en verde,6623,2213,4410,16398.33,7.41,604,9904591.32
2019,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,5,Jesús María,2,Primavera-Verano,2,Temporal,200201,Tonelada,7490000,Maíz grano,815,172,643,338.84,1.97,4010,1358748.4
2019,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,5,Jesús María,3,Perennes,1,Riego,200201,Tonelada,5170000,Alfalfa verde,387,387,0,33516.47,86.61,637.56,21368781.11
2019,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,5,Jesús María,3,Perennes,1,Riego,200201,Tonelada,6530000,Durazno,1.1,1.1,0,18,16.36,15300,275400
2019,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,5,Jesús María,3,Perennes,1,Riego,200201,Tonelada,7960000,Nuez,14.5,14.5,0,26.1,1.8,65000,1696500
2019,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,5,Jesús María,3,Perennes,1,Riego,200201,Tonelada,9130000,Uva,19,19,0,190,10,7350,1396500
2019,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,5,Jesús María,3,Perennes,1,Riego,200201,Tonelada,15050000,Pastos y praderas,40,40,0,3363.72,84.09,611.04,2055367.47
2019,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,5,Jesús María,3,Perennes,2,Temporal,200201,Tonelada,7910000,Nopal forrajero,17,17,0,625.29,36.78,479.99,300132.95
2019,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,5,Jesús María,3,Perennes,2,Temporal,200201,Tonelada,9120000,Tuna,25,25,0,95,3.8,3600,342000
2019,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,5,Jesús María,3,Perennes,2,Temporal,200201,Tonelada,15050000,Pastos y praderas,571,571,0,4766.14,8.35,490,2335408.6
2019,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,10,El Llano,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,108,108,0,2904.2,26.89,547.79,1590891.72
