Lon,Lat,Clave,Edo,Est,Tmin
-92.82,16.94,SNACP,CHIS,Santa MarÌa Chis.,16.7
-93.1,16.94,CHICP,CHIS,Manuel Moreno Torres Chis.,19.0
-93.12,16.98,GRICP,CHIS,Grijalva Chis.,15.3
-93.33,17.12,YAMCP,CHIS,YamonhÛ Chis.,15.4
-93.6,17.18,MALCP,CHIS,NezahualcÛyotl Chis.,19.5
-93.38,17.42,SAYCP,CHIS,Sayula Chis.,18.0
-93.46,17.45,PENCP,CHIS,¡ngel Albino Corzo Chis.,20.1
-92.35,17.57,SAACP,CHIS,Salto de Agua Chis.,17.5
-92.62,16.74,SCRCP,CHIS,Puente Morelos Chis.,3.7
-93.07,16.72,TXZCP,CHIS,Tuxtla GutiÈrrez Zoomat Chis.,17.2
-92.33,15.17,FHACP,CHIS,Finca Hamburgo Chis.,17.0
-92.81,15.66,ELTRIUNFO,CHIS,El Triunfo Chis. SMN*,5.7
-91.73,16.11,LMONTEBELLO,CHIS,Lagunas de Montebello Chis. SMN*,11.3
-93.08,17.56,SJOCP,CHIS,San JoaquÌn Chis.,17.1
-93.02,16.56,MMTG,CHIS,Aeropuerto Internacional de Tuxtla GutiÈrrez Chis.*,15.1
-92.48,15.35,FPZCP,CHIS,Finca la Paz Chis.,17.2
-92.76,15.07,LAENCRUCIJADA,CHIS,La Encrucijada Chis. SGT*,20.3
-93.56,16.7,LFLCP,CHIS,Las Flores Chis.,13.4
-92.9,16,JSBCP,CHIS,Juan Sabines Chis.,17.3
-92.37,14.79,MMTP,CHIS,Aeropuerto Internacional de Tapachula Chis.*,21.3
-92.72,15.35,CACCP,CHIS,Cacaluta Chis.,19.5
-92.15,15.09,VTACANA,CHIS,Volc·n Tacan· Chis. SMN*,18.3
-91.99,17.53,PLQCP,CHIS,Palenque Chis. SMN*,17.9
-92.26,14.91,TAPCP,CHIS,Tapachula Chis.,23.4
-92.25,15.36,CREDMOTOZINTLA,CHIS,Cred Motozintla Chis. SMN*,13.0
-93.08,16.17,CREDREVOLUCIONM,CHIS,Cred RevoluciÛn Mexicana Chis. SMN*,14.5
-92.91,17.18,UNIVERSIDADLIND,CHIS,Universidad Lindavista Chis. SMN*,10.2
