Lon,Lat,Clave,Edo,Est,Tmin,,
-92.67,15.92,REFCP,CHIS,Reforma Chis.,19.2,,
-93.08,16.16,REVCP,CHIS,RevoluciÛn Mexicana Chis.,20.5,,
-92.1,16.2,COOCP,CHIS,Observatorio de Comit·n Chis.,16.1,,
-92.48,16.31,CASCP,CHIS,Cascajal Chis.,20.3,,
-92.78,16.4,ANGCP,CHIS,Doctor Belisario DomÌnguez Chis.,20.5,,
-92.8,16.55,ACACP,CHIS,Acala Chis.,22.4,,
-90.7,16.58,LACCP,CHIS,Lacant˙n Chis.,21.5,,
-93.15,16.64,BOQCP,CHIS,BoquerÛn Chis.,20.9,,
-92.63,16.73,SCOCP,CHIS,Observatorio de San CristÛbal Chis.,12.4,,
-93.13,16.75,TXOCP,CHIS,Observatorio de Tuxtla GutiÈrrez Chis.,21.6,,
-93.1,16.76,TUXCP,CHIS,Tuxtla Oriente Chis.,22.1,,
-93.15,16.76,TUXTLAGTZob,CHIS,Observatorio de Tuxtla GutiÈrrez Chis. SMN*,23.0,,
-92.82,16.94,SNACP,CHIS,Santa MarÌa Chis.,23.1,,
-93.1,16.94,CHICP,CHIS,Manuel Moreno Torres Chis.,22.0,,
-93.12,16.98,GRICP,CHIS,Grijalva Chis.,20.9,,
-93.33,17.12,YAMCP,CHIS,YamonhÛ Chis.,21.9,,
-93.6,17.18,MALCP,CHIS,NezahualcÛyotl Chis.,24.1,,
-93.38,17.42,SAYCP,CHIS,Sayula Chis.,22.5,,
-93.01,17.25,TAPILULA,CHIS,Tapilula Chis. SGT*,20.1,,
-93.46,17.45,PENCP,CHIS,¡ngel Albino Corzo Chis.,24.3,,
-92.35,17.57,SAACP,CHIS,Salto de Agua Chis.,22.7,,
-92.97,15.73,CUXTEPEQUES,CHIS,Finca Cuxtepeques Chis. SGT*,17.7,,
-92.18,14.63,ILRAYON,CHIS,Ignacio LÛpez RayÛn Chis. SGT*,22.7,,
-92.3,15.12,ARGOVIA,CHIS,Finca Argovia Chis. SGT*,19.3,,
-93.25,16.25,VILLAFLORES,CHIS,Villaflores Chis. SGT*,20.8,,
-91.71,16.38,CHAYABE,CHIS,Finca ChayabÈ Chis. SGT*,16.3,,
-93.56,16.69,LASFLORESII,CHIS,Las Flores Dos Chis. SGT*,21.6,,
-92.62,16.74,SCRCP,CHIS,Puente Morelos Chis.,11.8,,
-92.27,15.33,MOTOZINTLA,CHIS,Motozintla Chis. SGT*,14.9,,
