Lon,Lat,Clave,Edo,Est,Tmin,,,
-104.8,24.52,CB2DR,DGO,Caboraca hidromÈtrica Dgo.,4.8,,,
-102.78,24.56,TGRDR,DGO,El Tigre Dgo.,10.8,,,
-105.57,26.08,SRDDR,DGO,Sardinas Dgo.,-1.9,,,
-104.25,23.39,MICHILIA,DGO,La Michilia Dgo. SMN*,-0.6,,,
-104.7,24,CAGDR,DGO,Campo AgrÌcola Dgo.,4.4,,,
-105.47,24.19,LVEDR,DGO,Las Vegas Dgo. SMN*,-1.2,,,
-102.77,24.63,SANJUANGPE,DGO,San Juan Guadalupe Dgo. SMN*,6.2,,,
-104.03,24.79,PBLDR,DGO,PeÒÛn Blanco Dgo.,1.3,,,
-105.33,26.43,SANANTONIO,DGO,San Antonio Dgo. SGT*,1.5,,,
-103.98,26.55,LAFLOR,DGO,La Flor de Jimulco Dgo. SMN*,8.2,,,
-103.75,26.69,MAPIMI,DGO,MapimÌ Dgo. SMN*,10.2,,,
-105.04,23.83,NAVDR,DGO,NavÌos Viejos Dgo.,-3.4,,,
-104.75,23.96,GVHDR,DGO,Guadalupe Victoria hidromÈtrica Dgo.,5.2,,,
-106.13,24.44,SJRDR,DGO,San JosÈ de los Reyes Dgo.,9.2,,,
-106.98,24.93,TMZDR,DGO,Tamazula Dgo.,16.0,,,
